ByteBit,ByteBit_Description,Size,Type,Name,ID
78 [0],TCSM - TCSM_1 - TRAC_RQ_TCSM,0 [2],T,Not Pressed / Pressed / SNA (2bit),179351
78 [2],TCSM - TCSM_1 - Left_Switch_TCSM,0 [3],T,Switch_TCSM,179356
78 [5],TCSM - TCSM_1 - Right_Switch_TCSM,0 [3],T,Switch_TCSM,179356
79 [0],TCSM - TCSM_1 - HILL_DES_RQ_TCSM,0 [2],T,NPSD / PSD / NDEF2,177088
79 [2],TCSM - TCSM_1 - SpSt_Pad1_TCSM,0 [3],T,Stop / Start switch Pad(1),214637
79 [5],TCSM - TCSM_1 - SpSt_Pad2_TCSM,0 [3],T,Stop / Start switch Pad(1),214637
80 [0],TCSM - TCSM_1 - Tcase4Low_Rq,0 [2],T,NPSD / PSD / NDEF2,177088
80 [2],TCSM - TCSM_1 - TcaseSwTyp,0 [2],T,ROT / PB,177087
80 [4],TCSM - TCSM_1 - Ntrl_LED_Fail,0 [1],T,Fail not present / Fail present,179305
80 [5],TCSM - TCSM_1 - RsErr_TCSM,0 [1],T,No error / Error,179295
80 [6],TCSM - TCSM_1 - RrAxleLckr_Rq,0 [2],T,NPSD / PSD / NDEF2,177088
81 [0],TCSM - TCSM_1 - TCASE_NEUT_RQ_TCSM,0 [2],T,NPSD / PSD / NDEF2,177088
81 [2],TCSM - TCSM_1 - Tcase2WD_Rq,0 [2],T,NPSD / PSD / NDEF2,177088
81 [4],TCSM - TCSM_1 - TcaseAWD_Rq,0 [2],T,NPSD / PSD / NDEF2,177088
81 [6],TCSM - TCSM_1 - Tcase4Lock_Rq,0 [2],T,NPSD / PSD / NDEF2,177088
83 [0],TCSM - TCSM_2 - SwayBarBtnRq_TCSM,0 [2],T,NPSD / PSD / STUCK,177111
83 [2],TCSM - TCSM_2 - Ft_RrAxleLocker_Rq,0 [2],T,NPSD / PSD / STUCK,177111
83 [4],TCSM - TCSM_2 - AxleUnLck_Rq,0 [2],T,NPSD / PSD / STUCK,177111
83 [6],Reserved,1 [2],I,1 Byte Identical,12198
84 [0],SlaveResp,1 [0],T,SlaveResp_TCSM,177110
85 [0],SlaveResp1,1 [0],T,SlaveResp_TCSM,177110
86 [0],SlaveResp2,1 [0],T,SlaveResp_TCSM,177110
87 [0],SlaveResp3,1 [0],T,SlaveResp_TCSM,177110
88 [0],SlaveResp4,1 [0],T,SlaveResp_TCSM,177110
89 [0],SlaveResp5,1 [0],T,SlaveResp_TCSM,177110
90 [0],SlaveResp6,1 [0],T,SlaveResp_TCSM,177110
91 [0],SlaveResp7,1 [0],T,SlaveResp_TCSM,177110
92 [0],IBS3 - IBS_Fast1 - IBS3_Vbatt,2 [0],L,"5 to 17.75 V (0.025, 5, 2) (2Bytes)",150662
