ID,Description,Size,Factor (m),Offset (b),Type,Decimal Places,Units,Scaled Min,Scaled Max,Raw Min,Raw Max,Encoding Name
124906,"-1000 to 310.68 A (0.02, -1000, 2)",2 [0],0.02,-1000,Unsigned,2,A,-1000.00,310.68,$0 ,$FFFE,
124907,"0 to 100 % (5, 0 , 0)",0 [5],5,0,Unsigned,0,%,0,100,$0 ,$14 ,
124908,"0 to 100  % (0.5, 0, 0)",1 [0],0.5,0,Unsigned,0,%,0,100,$0 ,$C8,
124910,"0 to 127 Battery Type (1,0,0)",0 [7],1,0,Unsigned,0,%,0,127,$0 ,$7F,
124911,"0 to 254 PN (1,0,0)",1 [0],1,0,Unsigned,0,%,0,254,$0 ,$FE,
124912,"0 to 300 ms (20, 0, 0)",0 [4],20,0,Unsigned,0,ms,0,300,$0 ,$0F,
124913,"0 to 254 Version (1,0,0)",1 [0],1,0,Unsigned,0,ms,0,254,$0 ,$FE,
124916,"0 to 254 Ah (1,0,0)",1 [0],1,0,Unsigned,0,Ah,0,254,$0 ,$FE,
124917,"0 to 100 % (0.4, 0, 0)",1 [0],0.4,0,Unsigned,0,%,0,100,$0 ,$FA,
124917,"0 to 100 % (0.4, 0, 0)",1 [0],0.4,0,Unsigned,0,%,0,100,$FF,$FF,No Signal
124919,"0 to 86398 sec (2,0,0)",2 [0],2,0,Unsigned,0,sec,0,86398,$0 ,$A8BF,
124920,15-Jan,0 [4],1,0,Unsigned,0,sec,1,15,$1 ,$0F,
124922,"0 to 4094 Days (1,0,0)",1 [4],1,0,Unsigned,0,Days,0,4094,$0 ,$0FFE,
124923,"0 to 126 % (1,0,0)",0 [7],1,0,Unsigned,0,%,0,126,$0 ,$7E,
124924,"5 to 15V (0.01, 5, 0) (10bit)",1 [2],0.01,5,Unsigned,0,V,5,15,$0 ,$03FF,
124925,"0 to 8191.75  Ah (0.125,0,2)",2 [0],0.125,0,Unsigned,2,Ah,0.00,8191.75,$0 ,$FFFE,
124926,"0 to 15 Seconds (1,0,0)",0 [4],1,0,Unsigned,0,Seconds,0,15,$0 ,$0F,
124927,"-90 to 165 ° (1, -90, 0)",1 [0],1,-90,Unsigned,0,°,-90,165,$0 ,$FF,
124928,Fuel Level Raw Percentage,1 [0],0.5,0,Unsigned,0,%,0,112,$0 ,$E0,
124929,Ambient Temperature Degrees,1 [0],0.5,-40,Unsigned,0,°C,-40,85,$0 ,$FA,
124931,"0 to 4080 min (1,0,0)",2 [0],1,0,Unsigned,0,min,0,4080,$0 ,$0FF0,
124931,"0 to 4080 min (1,0,0)",2 [0],1,0,Unsigned,0,min,0,4080,$0FFF,$0FFF,No Signal
124933,"0 to 7 °C (0.5, 0 , 1)",0 [4],0.5,0,Unsigned,1,°C,0.0,7.0,$0 ,$0E,
124933,"0 to 7 °C (0.5, 0 , 1)",0 [4],0.5,0,Unsigned,1,°C,0.0,7.0,$0F,$0F,Invalid Signal
124936,"0 to 20.16 V (0.16, 0 , 2) ",0 [7],0.16,0,Unsigned,2,°C,0.00,20.16,$0 ,$7E,
124937,0 to 100 b,1 [0],0.4,0,Unsigned,1,%,0.0,100.0,$0 ,$FA,
124938,"5 to 20 Min (1, 0, 0)",0 [5],1,0,Unsigned,0,minutes,5,20,$5 ,$14 ,
124938,"5 to 20 Min (1, 0, 0)",0 [5],1,0,Unsigned,0,minutes,5,20,$15 ,$1F,Invalid Signal
124940,"0 to 10 s (1, 0, 0)",0 [4],1,0,Unsigned,0,s,0,10,$0 ,$0A,
124941,"0 to 5 Minutes (1,0,0)",0 [3],1,0,Unsigned,0,Minutes,0,5,$0 ,$5 ,
124942,"0 to 600 s (10, 0, 0)",0 [6],10,0,Unsigned,0,s,0,600,$0 ,$3C,
124943,"20 to 50 °F (5, 0, 0)",0 [6],5,0,Unsigned,0,°F,20,50,$4 ,$0A,
124943,"20 to 50 °F (5, 0, 0)",0 [6],5,0,Unsigned,0,°F,20,50,$33 ,$3F,Invalid Signal
124944,"0 to 50 Km (1, 0, 0)",0 [6],1,0,Unsigned,0,Km,0,50,$0 ,$32 ,
124944,"0 to 50 Km (1, 0, 0)",0 [6],1,0,Unsigned,0,Km,0,50,$33 ,$3F,Invalid Signal
124945,"0 to 252 Ah (2,0,0)",0 [7],2,0,Unsigned,0,Ah,0,252,$0 ,$7E,
124946,"0 to 511.9375 km/h (0.0625, 0, 4) (13bit)",1 [5],0.0625,0,Unsigned,4,km/h,0.0000,511.9375,$0 ,$1FFF,
124947,"-40 to 85 °C (0.5, -40, 1)",1 [0],0.5,-40,Unsigned,1,°C,-40.0,85.0,$0 ,$FA,
124947,"-40 to 85 °C (0.5, -40, 1)",1 [0],0.5,-40,Unsigned,1,°C,-40.0,85.0,$FF,$FF,Invalid Signal
124948,"-85 to 170 °C (0.5, -85, 0) (9bit)",1 [1],0.5,-85,Unsigned,0,°C,-85,170,$0 ,$01FE,
124948,"-85 to 170 °C (0.5, -85, 0) (9bit)",1 [1],0.5,-85,Unsigned,0,°C,-85,170,$01FF,$01FF,No Signal
124949,"0 to 2500 mA (10,0,0)",1 [0],10,0,Unsigned,0,mA,0,2500,$0 ,$FA,
124951,"1 to 120 Sec (1, 0, 0)",0 [7],1,0,Unsigned,0,Sec,1,120,$1 ,$78 ,
124951,"1 to 120 Sec (1, 0, 0)",0 [7],1,0,Unsigned,0,Sec,1,120,$79 ,$7F,Invalid Signal
124952,"0 to 511.875 km/h (0.0625, 0, 3 (13bit)",1 [5],0.0625,0,Unsigned,3,km/h,0.000,511.875,$0 ,$1FFE,
124953,"0 to 20 Sec (5, 0, 0)",0 [3],5,0,Unsigned,0,Sec,0,20,$0 ,$4 ,
124953,"0 to 20 Sec (5, 0, 0)",0 [3],5,0,Unsigned,0,Sec,0,20,$5 ,$7 ,Invalid Signal
124954,"0 to 100 %( 1,0,0)",1 [0],1,0,Unsigned,0,%,0,100,$0 ,$64 ,
124955,"0 to 25.4 V (0.1,0,1)",1 [0],0.1,0,Unsigned,1,V,0.0,25.4,$0 ,$FE,
124956,"-250 to 0 mA (1,-250,0)",1 [0],1,-250,Unsigned,0,mA,-250,0,$0 ,$FA,
124957,"0 to 63 Battery Type (1,0,0)",0 [6],1,0,Unsigned,0,mA,0,63,$0 ,$3F,
124959,"-40 to 85 °C (0.01, -40, 0 )",2 [0],0.01,-40,Unsigned,0,°C,-40,85,$0 ,$30D4,
124959,"-40 to 85 °C (0.01, -40, 0 )",2 [0],0.01,-40,Unsigned,0,°C,-40,85,$FFFF,$FFFF,No Signal
126023,"0 to 255 Seconds (1,0,0)",1 [0],1,0,Unsigned,0,Seconds,0,255,$0 ,$FF,
126228,"0 to 3.5 (0.1, 1, 1)",0 [6],0.1,0,Unsigned,1,Seconds,0.0,3.5,$0 ,$23 ,
126230,"0 to 150 Degrees (1, 0, 1)",1 [0],1,0,Unsigned,0,Degrees,0,150,$0 ,$96 ,
126232,"0 to 3 Degrees (0.1, 0, 1)",0 [5],0.1,0,Unsigned,1,Degrees,0.0,3.0,$0 ,$1E,
126235,"0 to 1.5 m/s² (0.1, 0, 1)",0 [4],0.1,0,Unsigned,1,m/s²,0.0,1.5,$0 ,$0F,
126236,"0 to 7.5 (0.1, 0, 1)",0 [7],0.1,0,Unsigned,1,m/s²,0.0,7.5,$0 ,$4B,
126237,"0 to 15 readings (0.1, 0,1)",1 [0],0.1,0,Unsigned,1,m/s²,0.0,15.0,$0 ,$96 ,
127061,"40 to 1000 ms (20,0,0)",1 [0],20,0,Unsigned,0,ms,40,1000,$2 ,$32 ,
127062,"200  to 1000  ms (20,0,0)",1 [0],20,0,Unsigned,0,ms,200,1000,$0A,$32 ,
127063,Fuel Volt 0 to 5,1 [0],0.019607843,0,Unsigned,4,Volt,0.0000,5.0000,$0 ,$FF,
127065,"0 to 1000  ms (10,0,0) 1Byte",1 [0],10,0,Unsigned,0,ms,0,1000,$0 ,$64 ,
129039,MessageCounter,0 [4],1,0,Unsigned,0,ms,0,15,$0 ,$0F,
129976,"0 to 375Nm (1, 0, 1)",2 [0],1,0,Unsigned,0,Nm,0,375,$0 ,$177 ,
129977,"0 to 31periods(0.1, 0, 1)",2 [0],0.1,0,Unsigned,1,Nm,0.0,31.0,$0 ,$136 ,
129980,"200 to 480Degrees (1, 200, 0)",2 [0],1,200,Unsigned,0,Degrees,200,480,$0 ,$118 ,
130073,_1_to_30_no_units_1_0_LC118855,0 [5],1,1,Unsigned,0,No Unit,1,30,$0 ,$1D,
130074,"10 to 30 minutes (1,10, 0)",0 [5],1,10,Unsigned,0,Minutes,10,30,$0 ,$14 ,
130075,_1_to_8_ms2_05_0_LC119185,0 [4],0.5,1,Unsigned,1,m/s2,1.0,8.0,$0 ,$0E,
130076,"10 to 160 Degrees (10, 10, 0)",0 [5],10,10,Unsigned,0,Degrees,10,160,$0 ,$0F,
130077,"0 to 1000 ms(1,0,0)",2 [0],1,0,Unsigned,0,ms,0,1000,$0 ,3.00E+08,
130078,"5 to 20 MPH (5, 5, 0)",0 [3],5,5,Unsigned,0,MPH,5,20,$0 ,$3 ,
130079,"1 to 8 Count (1, 1, 0)",0 [4],1,1,Unsigned,0,Count,1,8,$0 ,$7 ,
130080,"5 to 120 °C (5, 5, 0)",0 [5],5,5,Unsigned,0,Count,5,120,$0 ,$17 ,
130081,"10 to 250 Min (10, 10, 0)",0 [5],10,10,Unsigned,0,Minutes,10,250,$0 ,$18 ,
130082,"20 to 100 Counts(10,20,0)",0 [4],10,20,Unsigned,0,Counts,20,100,$0 ,$8 ,
130083,"10 to 120 Seconds(10,10,0)",0 [4],10,10,Unsigned,0,Seconds,10,120,$0 ,$0B,
130084,"10 to 240 Seconds(10,10,0)",0 [5],10,10,Unsigned,0,Seconds,10,240,$0 ,$17 ,
