ID,Description,Size,Factor (m),Offset (b),Type,Decimal Places,Units,Scaled Min,Scaled Max,Raw Min,Raw Max,Encoding Name
137863,"0 to 510 Seconds(1, 0, 0)",2 [0],1,0,Unsigned,0,Seconds,0,510,$0 ,$01FE,
144637,Option 979,2 [0],1,0,Unsigned,0,Seconds,0,65535,$0 ,$FFFF,
144638,Option 957,1 [0],1,0,Signed,0,%,-128,127,$80 ,$7F,
144639,Option 1007,1 [0],1,2000,Unsigned,0,year,2000,2255,$0 ,$FF,
144640,Option 1025,2 [0],1,0,Unsigned,0,year,0,65535,$0 ,$FFFF,
144641,Option 949,2 [0],1,0,Unsigned,0,mm,0,65535,$0 ,$FFFF,
144642,Option 1024,2 [0],1,0,Unsigned,0,mm,0,65535,$0 ,$FFFF,
144643,Option 951,1 [0],1,9,Unsigned,0,Liters,9,264,$0 ,$FF,
144644,Option 1047,0 [5],10,100,Unsigned,0,Liters,100,410,$0 ,$1F,
144644,Option 1047,0 [5],10,100,Unsigned,0,Liters,100,410,,,
