ID,Description,Size,Factor (m),Offset (b),Type,Decimal Places,Units,Scaled Min,Scaled Max,Raw Min,Raw Max,Encoding Name
124895,"0 to 25.4 mOhm (0.1,0,1)",1 [0],0.1,0,Unsigned,1,mOhms,0.0,25.4,$00,$FE,
124896,"0 to  4094 Days (1,0,0) (12bit)",1 [4],1,0,Unsigned,0,Days,0,4094,$0000,$0FFE,
124897,"4 to 10.3 V (0.05, 4, 1)",0 [7],0.05,4,Unsigned,1,V,4.0,10.3,$00,$7E,
124898,"260 to 1500 A (20, 260, 0)",0 [6],20,260,Unsigned,0,A,260,1500,$00,$3E,
124899,"0 to 254 % (1,0,0)",1 [0],1,0,Unsigned,0,%,0,254,$00,$FE,
124899,"0 to 254 % (1,0,0)",1 [0],,,,,,,,$FF,$FF,No Signal
124900,"6 to 18.7 V (6, 0.05, 0) ",1 [0],0.05,6,Unsigned,2,V,6.00,18.75,$00,$FF,
124901,-6.96 to 6.96,1 [0],0.08,-10.24,Unsigned,2,,-6.96,6.96,$29,$D7,
124902,"-85 to 170 °C (0.5, -85, 0)",2 [0],0.5,-85,Unsigned,0,°C,-85,170,$0000,$01FE,
124902,"-85 to 170 °C (0.5, -85, 0)",2 [0],,,,,,,,$01FF,$01FF,No Signal
124903,"5 to 11.3 V (0.05, 5, 1) (7bit)",0 [7],0.05,5,Unsigned,1,V,5.0,11.3,$00,$7E,
124904,"-327.68 to 327.67 °/s (0.01, -327.68, 2)",2 [0],0.01,-327.68,Unsigned,2,°/s,-327.68,327.67,$0000,$FFFF,
124905,"5 to 17.75 V (0.025, 5, 2) (9bit)",1 [1],0.025,5,Unsigned,2,V,5.00,17.75,$0000,$01FE,
124906,"-1000 to 310.68 A (0.02, -1000, 2)",2 [0],0.02,-1000,Unsigned,2,A,-1000.00,310.68,$0000,$FFFE,
124907,"0 to 100 % (5, 0 , 0)",0 [5],5,0,Unsigned,0,%,0,100,$00,$14,
124908,"0 to 100  % (0.5, 0, 0)",1 [0],0.5,0,Unsigned,0,%,0,100,$00,$C8,
124909,Tyre_Size,2 [0],,,Unsigned,,,,,$0000,$059F,Invalid Signal
124909,Tyre_Size,2 [0],1,0,,0,mm,1440,3046,$05A0,$0BE6,
124909,Tyre_Size,2 [0],,,,,,,,$0BE7,$FFFF,Invalid Signal
124910,"0 to 127 Battery Type (1,0,0)",0 [7],1,0,Unsigned,0,,0,127,$00,$7F,
124911,"0 to 254 PN (1,0,0)",1 [0],1,0,Unsigned,0,,0,254,$00,$FE,
124912,"0 to 300 ms (20, 0, 0)",0 [4],20,0,Unsigned,0,ms,0,300,$00,$0F,
124913,"0 to 254 Version (1,0,0)",1 [0],1,0,Unsigned,0,,0,254,$00,$FE,
124914,Tank_Fuel_Capacity,1 [0],1,9,Unsigned,0,Liters,10,264,$01,$FF,
124915,"10 to 30 minutes (1, 0, 0)",0 [5],1,0,Unsigned,0,,10,30,$0A,$1E,
124916,"0 to 254 Ah (1,0,0)",1 [0],1,0,Unsigned,0,Ah,0,254,$00,$FE,
124917,"0 to 100 % (0.4, 0, 0)",1 [0],0.4,0,Unsigned,0,%,0,100,$00,$FA,
124917,"0 to 100 % (0.4, 0, 0)",1 [0],,,,,,,,$FF,$FF,No Signal
124919,"0 to 86398 sec (2,0,0)",2 [0],2,0,Unsigned,0,sec,0,86398,$0000,$A8BF,
124920,1 - 15 ,0 [4],1,0,Unsigned,0,,1,15,$01,$0F,
124921,ANC Calibration Parameter Dataset,2 [0],1,0,Unsigned,0,,0,65535,$0000,$FFFF,
124922,"0 to 4094 Days (1,0,0)",1 [4],1,0,Unsigned,0,Days,0,4094,$0000,$0FFE,
124923,"0 to 126 % (1,0,0)",0 [7],1,0,Unsigned,0,%,0,126,$00,$7E,
124924,"5 to 15V (0.01, 5, 0) (10bit)",1 [2],0.01,5,Unsigned,0,V,5,15,$0000,$03FF,
124925,"0 to 8191.75  Ah (0.125,0,2)",2 [0],0.125,0,Unsigned,2,Ah,0.00,8191.75,$0000,$FFFE,
124926,"0 to 15 Seconds (1,0,0)",0 [4],1,0,Unsigned,0,Seconds,0,15,$00,$0F,
124927,"-90 to 165 ° (1, -90, 0)",1 [0],1,-90,Unsigned,0,°,-90,165,$00,$FF,
124928,Fuel Level Raw Percentage,1 [0],0.5,0,Unsigned,0,%,0,112,$00,$E0,
124929,Ambient Temperature Degrees,1 [0],0.5,-40,Unsigned,0,°C,-40,85,$00,$FA,
124930,"1 to 8 Count (1, 0, 0)",0 [4],1,0,Unsigned,0,Count,1,8,$01,$08,
124931,"0 to 4080 min (1,0,0)",2 [0],1,0,Unsigned,0,min,0,4080,$0000,$0FF0,
124931,"0 to 4080 min (1,0,0)",2 [0],,,,,,,,$0FFF,$0FFF,No Signal
