ByteBit,ByteBit_Description,Size,Type,Name,ID
80 [4],IBS3_2- IBS_Wakeup_2- IBS3_Ibatt_Keyoff_Value_2,0 [4],T,IBS3_Current Status,138025
81 [2],Reserved,0 [6],I,6 Bit Identical,10029
82 [0],IBS3_2- IBS_Wakeup_2- IBS3_PreWakeupVoltage_2,1 [2],L,"5 to 15V (0.01, 5, 0) (10bit)",124924
83 [0],IBS3_2- SlaveResp- SlaveRespB0,1 [0],T,SlaveResp_IBS3_2,173738
84 [0],IBS3_2- SlaveResp- SlaveRespB1,1 [0],T,SlaveResp_IBS3_2,173738
85 [0],IBS3_2- SlaveResp- SlaveRespB2,1 [0],T,SlaveResp_IBS3_2,173738
86 [0],IBS3_2- SlaveResp- SlaveRespB3,1 [0],T,SlaveResp_IBS3_2,173738
87 [0],IBS3_2- SlaveResp- SlaveRespB4,1 [0],T,SlaveResp_IBS3_2,173738
88 [0],IBS3_2- SlaveResp- SlaveRespB5,1 [0],T,SlaveResp_IBS3_2,173738
89 [0],IBS3_2- SlaveResp- SlaveRespB6,1 [0],T,SlaveResp_IBS3_2,173738
90 [0],IBS3_2- SlaveResp- SlaveRespB7,1 [0],T,SlaveResp_IBS3_2,173738
